,0
0,3.8-1.2
1,3.8-1.3
2,3.8-1.4
3,3.8-1.5
4,5-HT3C2
5,A1BG
6,A1BG-AS1
7,A1CF
8,A2M
9,A2M-AS1
10,A2ML1
11,A2MP1
12,A3GALT2
13,A4GALT
14,A4GNT
15,AA06
16,AAAS
17,AACS
18,AACSP1
19,AADAC
20,AADACL2
21,AADACL2-AS1
22,AADACL3
23,AADACL4
24,AADACP1
25,AADAT
26,AAED1
27,AAGAB
28,AAK1
29,AAMDC
30,AAMP
31,AANAT
32,AAR2
33,AARD
34,AARS
35,AARS2
36,AARSD1
37,AASDH
38,AASDHPPT
39,AASS
40,AATBC
41,AATF
42,AATK
43,AATK-AS1
44,ABAT
45,ABCA1
46,ABCA10
47,ABCA11P
48,ABCA12
49,ABCA13
50,ABCA17P
51,ABCA2
52,ABCA3
53,ABCA4
54,ABCA5
55,ABCA6
56,ABCA7
57,ABCA8
58,ABCA9
59,ABCA9-AS1
60,ABCB1
61,ABCB10
62,ABCB10P1
63,ABCB10P3
64,ABCB10P4
65,ABCB11
66,ABCB4
67,ABCB5
68,ABCB6
69,ABCB7
70,ABCB8
71,ABCB9
72,ABCC1
73,ABCC10
74,ABCC11
75,ABCC12
76,ABCC13
77,ABCC2
78,ABCC3
79,ABCC4
80,ABCC5
81,ABCC5-AS1
82,ABCC6
83,ABCC6P1
84,ABCC6P2
85,ABCC8
86,ABCC9
87,ABCD1
88,ABCD1P1
89,ABCD1P2
90,ABCD1P3
91,ABCD1P4
92,ABCD1P5
93,ABCD2
94,ABCD3
95,ABCD4
96,ABCE1
97,ABCF1
98,ABCF2
99,ABCF2P1
100,ABCF2P2
101,ABCF3
102,ABCG1
103,ABCG2
104,ABCG4
105,ABCG5
106,ABCG8
107,ABHD1
108,ABHD10
109,ABHD11
110,ABHD11-AS1
111,ABHD12
112,ABHD12B
113,ABHD13
114,ABHD14A
115,ABHD14A-ACY1
116,ABHD14B
117,ABHD15
118,ABHD16A
119,ABHD16B
120,ABHD17A
121,ABHD17AP1
122,ABHD17AP3
123,ABHD17AP4
124,ABHD17AP5
125,ABHD17AP6
126,ABHD17AP7
127,ABHD17AP8
128,ABHD17AP9
129,ABHD17B
130,ABHD17C
131,ABHD2
132,ABHD3
133,ABHD4
134,ABHD5
135,ABHD6
136,ABHD8
137,ABI1
138,ABI1P1
139,ABI2
140,ABI3
141,ABI3BP
142,ABL1
143,ABL2
144,ABLIM1
145,ABLIM2
146,ABLIM3
147,ABO
148,ABR
149,ABRA
150,ABRACL
151,ABT1
152,ABT1P1
153,ABTB1
154,ABTB2
155,ACAA1
156,ACAA2
157,ACACA
158,ACACB
159,ACAD10
160,ACAD11
161,ACAD8
162,ACAD9
163,ACADL
164,ACADM
165,ACADS
166,ACADSB
167,ACADVL
168,ACAN
169,ACAP1
170,ACAP2
171,ACAP3
172,ACAT1
173,ACAT2
174,ACBD3
175,ACBD4
176,ACBD5
177,ACBD6
178,ACBD7
179,ACCS
180,ACCSL
181,ACD
182,ACE
183,ACE2
184,ACE3P
185,ACER1
186,ACER2
187,ACER3
188,ACHE
189,ACIN1
190,ACKR1
191,ACKR2
192,ACKR3
193,ACKR4
194,ACLY
195,ACMSD
196,ACO1
197,ACO2
198,ACOT1
199,ACOT11
200,ACOT12
201,ACOT13
202,ACOT2
203,ACOT4
204,ACOT6
205,ACOT7
206,ACOT8
207,ACOT9
208,ACOX1
209,ACOX2
210,ACOX3
211,ACOXL
212,ACP1
213,ACP2
214,ACP5
215,ACP6
216,ACPP
217,ACPT
218,ACR
219,ACRBP
220,ACRC
221,ACRV1
222,ACSBG1
223,ACSBG2
224,ACSF2
225,ACSF3
226,ACSL1
227,ACSL3
228,ACSL4
229,ACSL5
230,ACSL6
231,ACSM1
232,ACSM2A
233,ACSM2B
234,ACSM3
235,ACSM4
236,ACSM5
237,ACSM5P1
238,ACSM6
239,ACSS1
240,ACSS2
241,ACSS3
242,ACTA1
243,ACTA2
244,ACTA2-AS1
245,ACTB
246,ACTBL2
247,ACTBP1
248,ACTBP10
249,ACTBP11
250,ACTBP12
251,ACTBP13
252,ACTBP14
253,ACTBP2
254,ACTBP3
255,ACTBP4
256,ACTBP6
257,ACTBP7
258,ACTBP8
259,ACTBP9
260,ACTC1
261,ACTG1
262,ACTG1P1
263,ACTG1P10
264,ACTG1P11
265,ACTG1P12
266,ACTG1P13
267,ACTG1P14
268,ACTG1P15
269,ACTG1P16
270,ACTG1P17
271,ACTG1P18
272,ACTG1P19
273,ACTG1P2
274,ACTG1P20
275,ACTG1P21
276,ACTG1P22
277,ACTG1P23
278,ACTG1P24
279,ACTG1P3
280,ACTG1P4
281,ACTG1P9
282,ACTG2
283,ACTL10
284,ACTL6A
285,ACTL6B
286,ACTL7A
287,ACTL7B
288,ACTL8
289,ACTL9
290,ACTN1
291,ACTN1-AS1
292,ACTN2
293,ACTN3
294,ACTN4
295,ACTN4P1
296,ACTN4P2
297,ACTR10
298,ACTR1A
299,ACTR1B
300,ACTR2
301,ACTR3
302,ACTR3B
303,ACTR3BP1
304,ACTR3BP2
305,ACTR3BP3
306,ACTR3BP4
307,ACTR3BP5
308,ACTR3BP6
309,ACTR3C
310,ACTR3P1
311,ACTR3P2
312,ACTR3P3
313,ACTR5
314,ACTR6
315,ACTR6P1
316,ACTR8
317,ACTRT1
318,ACTRT2
319,ACTRT3
320,ACVR1
321,ACVR1B
322,ACVR1C
323,ACVR2A
324,ACVR2B
325,ACVR2B-AS1
326,ACVRL1
327,ACY1
328,ACY3
329,ACYP1
330,ACYP2
331,ADA
332,ADAD1
333,ADAD1P1
334,ADAD1P2
335,ADAD2
336,ADAL
337,ADAM10
338,ADAM11
339,ADAM12
340,ADAM15
341,ADAM17
342,ADAM18
343,ADAM19
344,ADAM1A
345,ADAM1B
346,ADAM2
347,ADAM20
348,ADAM20P1
349,ADAM20P2
350,ADAM20P3
